X,Y,b1_est,b1_pv,b2_est,b2_pv,X_clean,Y_clean,name.x,phylum.x,name.y,phylum.y,source,b1_pv_FDR,b2_pv_FDR
tax_g68,tax_g4,0.055370955,0.068294697,0.074278888,0.015948711,g68,g4,genus_g__Phocaeicola,Bacteroidetes,genus_g__Blautia,Firmicutes,genus,0.145695355,0.102071752
tax_g68,tax_g41,0.023786592,0.375108697,0.072132415,0.021105835,g68,g41,genus_g__Phocaeicola,Bacteroidetes,genus_g__Gordonibacter,Actinobacteria,genus,0.510786311,0.122797588
tax_g50,tax_g60,0.027643502,0.394528757,0.07181152,0.026194685,g50,g60,genus_g__Romboutsia,Firmicutes,genus_g__Bilophila,Proteobacteria,genus,0.526038342,0.131577823
tax_g25,tax_g29,-0.101458209,0.000672247,0.067847648,0.026726745,g25,g29,genus_g__Clostridium,Firmicutes,genus_g__Oscillibacter,Firmicutes,genus,0.003073127,0.131577823
tax_g68,tax_g56,0.061357602,0.032515146,0.063109816,0.038336598,g68,g56,genus_g__Phocaeicola,Bacteroidetes,genus_g__Christensenella,Firmicutes,genus,0.086707057,0.170353954
tax_g25,tax_g97,-0.031448561,0.341996239,-0.061657294,0.039926708,g25,g97,genus_g__Clostridium,Firmicutes,genus_g__Anaerotignum,Firmicutes,genus,0.475820854,0.170353954
tax_g17,tax_g60,-0.110445191,0.000293222,-0.062109123,0.053931729,g17,g60,genus_g__Butyricicoccus,Firmicutes,genus_g__Bilophila,Proteobacteria,genus,0.001443553,0.215726916
tax_g17,tax_g57,-0.016486403,0.557972813,0.051335142,0.076472843,g17,g57,genus_g__Butyricicoccus,Firmicutes,genus_g__Odoribacter,Bacteroidetes,genus,0.68673577,0.28789776
tax_g25,tax_g40,0.020841797,0.510459446,0.053464098,0.091893431,g25,g40,genus_g__Clostridium,Firmicutes,genus_g__Faecalibacillus,Firmicutes,genus,0.653388091,0.310622118
tax_g17,tax_g97,0.015274414,0.600850015,-0.046524713,0.092215941,g17,g97,genus_g__Butyricicoccus,Firmicutes,genus_g__Anaerotignum,Firmicutes,genus,0.712118536,0.310622118
tax_g25,tax_g98,0.007315569,0.819379576,-0.048841929,0.113460984,g25,g98,genus_g__Clostridium,Firmicutes,genus_g__Paraprevotella,Bacteroidetes,genus,0.904142981,0.345785855
tax_g17,tax_g46,-0.020028956,0.49258303,-0.039017251,0.181051576,g17,g46,genus_g__Butyricicoccus,Firmicutes,genus_g__Dysosmobacter,Firmicutes,genus,0.643373753,0.522355858
tax_g25,tax_g128,0.012795429,0.627566924,0.041358329,0.187721636,g25,g128,genus_g__Clostridium,Firmicutes,genus_g__GGB9602,Firmicutes,genus,0.730259693,0.522355858
tax_g25,tax_g15,-0.062648231,0.053210033,0.040856963,0.199662383,g25,g15,genus_g__Clostridium,Firmicutes,genus_g__Alistipes,Bacteroidetes,genus,0.126127485,0.526534946
tax_g25,tax_g54,0.003584645,0.9159482,0.039469182,0.225891118,g25,g54,genus_g__Clostridium,Firmicutes,genus_g__Parabacteroides,Bacteroidetes,genus,0.979019128,0.526534946
tax_g25,tax_g41,0.035501757,0.188824955,0.036403393,0.231975148,g25,g41,genus_g__Clostridium,Firmicutes,genus_g__Gordonibacter,Actinobacteria,genus,0.296754906,0.526534946
tax_g68,tax_g29,-0.088669316,0.002163382,0.03634861,0.237957416,g68,g29,genus_g__Phocaeicola,Bacteroidetes,genus_g__Oscillibacter,Firmicutes,genus,0.008144497,0.526534946
tax_g25,tax_g56,0.054763055,0.064487065,0.035520067,0.241612063,g25,g56,genus_g__Clostridium,Firmicutes,genus_g__Christensenella,Firmicutes,genus,0.142316282,0.526534946
tax_g50,tax_g54,0.075171377,0.020318143,0.035698887,0.247368492,g50,g54,genus_g__Romboutsia,Firmicutes,genus_g__Parabacteroides,Bacteroidetes,genus,0.065018059,0.526534946
tax_g68,tax_g60,-0.049957339,0.111166814,-0.037707904,0.250282694,g68,g60,genus_g__Phocaeicola,Bacteroidetes,genus_g__Bilophila,Proteobacteria,genus,0.20925518,0.526534946
tax_g68,tax_g98,-0.067916101,0.029034622,-0.034463094,0.268974014,g68,g98,genus_g__Phocaeicola,Bacteroidetes,genus_g__Paraprevotella,Bacteroidetes,genus,0.084323443,0.526534946
tax_g17,tax_g15,-0.063722323,0.027240142,0.032725404,0.26957755,g17,g15,genus_g__Butyricicoccus,Firmicutes,genus_g__Alistipes,Bacteroidetes,genus,0.083017575,0.526534946
