X,Y,b1_est,b1_pv,b2_est,b2_pv,X_clean,Y_clean,name.x,phylum.x,name.y,phylum.y,source,b1_pv_FDR,b2_pv_FDR
s42,s82,0.016895446,0.561928087,0.154760823,3.11E-07,s42,s82,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Clostridium_leptum,Firmicutes,species,0.669356418,4.13E-05
s50,s55,0.050791758,0.128194386,0.137531714,2.47E-05,s50,s55,s__Clostridium_fessum,Firmicutes,s__Faecalibacillus_intestinalis,Firmicutes,species,0.24013878,0.001644879
s50,s150,-0.036627535,0.303064186,-0.086689779,0.005535739,s50,s150,s__Clostridium_fessum,Firmicutes,s__Anaerotignum_faecicola,Firmicutes,species,0.419870175,0.245417781
s175,s24,-0.003793465,0.904691375,0.088517448,0.009297975,s175,s24,s__Phocaeicola_vulgatus,Bacteroidetes,s__Ruthenibacterium_lactatiformans,Firmicutes,species,0.940030881,0.255480363
s152,s55,0.050148016,0.139315228,0.078835118,0.012360318,s152,s55,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Faecalibacillus_intestinalis,Firmicutes,species,0.253820895,0.255480363
s323,s61,-0.033906894,0.211068781,0.073517724,0.01261309,s323,s61,s__Roseburia_intestinalis,Firmicutes,s__Alistipes_onderdonkii,Bacteroidetes,species,0.333402726,0.255480363
s50,s90,-0.110558799,0.005059873,-0.095178262,0.013446335,s50,s90,s__Clostridium_fessum,Firmicutes,s__Bilophila_wadsworthia,Proteobacteria,species,0.018308152,0.255480363
s68,s90,0.027069405,0.404103409,0.071924241,0.025942154,s68,s90,s__Romboutsia_timonensis,Firmicutes,s__Bilophila_wadsworthia,Proteobacteria,species,0.532136172,0.357340938
s152,s76,-0.10408701,0.001713603,-0.063882984,0.025945589,s152,s76,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Bacteroides_caccae,Bacteroidetes,species,0.008139613,0.357340938
s175,s69,-0.148510969,8.92E-06,0.074192021,0.027597358,s175,s69,s__Phocaeicola_vulgatus,Bacteroidetes,s__Alistipes_shahii,Bacteroidetes,species,0.000112088,0.357340938
s175,s82,-0.017923847,0.565913586,0.067732165,0.030187256,s175,s82,s__Phocaeicola_vulgatus,Bacteroidetes,s__Clostridium_leptum,Firmicutes,species,0.669356418,0.357340938
s152,s234,-0.033542506,0.241320458,-0.065964886,0.034797151,s152,s234,s__Clostridium_sp_AM22_11AC,Firmicutes,s__GGB9602_SGB15031,Firmicutes,species,0.364722965,0.357340938
s50,s82,-0.042842428,0.181492389,-0.065365992,0.034928062,s50,s82,s__Clostridium_fessum,Firmicutes,s__Clostridium_leptum,Firmicutes,species,0.300962008,0.357340938
s106,s71,-0.009254412,0.742089904,0.057488718,0.039396974,s106,s71,s__Actinomyces_sp_ICM58,Actinobacteria,s__Dysosmobacter_sp_BX15,Firmicutes,species,0.815685597,0.374271258
s152,s90,-0.155233919,9.45E-06,-0.062859341,0.053851939,s152,s90,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Bilophila_wadsworthia,Proteobacteria,species,0.000112088,0.477487193
s152,s150,-0.12365505,0.00029164,-0.053956005,0.059177682,s152,s150,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Anaerotignum_faecicola,Firmicutes,species,0.001714577,0.48666002
s323,s90,-0.040902384,0.164583464,0.059668978,0.062204664,s323,s90,s__Roseburia_intestinalis,Firmicutes,s__Bilophila_wadsworthia,Proteobacteria,species,0.288021062,0.48666002
s42,s234,0.00766046,0.756864212,0.055229096,0.074719521,s42,s234,s__Clostridium_sp_AM49_4BH,Firmicutes,s__GGB9602_SGB15031,Firmicutes,species,0.825106068,0.55209424
s50,s61,-0.114539311,0.000222884,-0.051819184,0.088965761,s50,s61,s__Clostridium_fessum,Firmicutes,s__Alistipes_onderdonkii,Bacteroidetes,species,0.001482179,0.61088527
s175,s55,0.037576603,0.232418705,0.054046034,0.091862447,s175,s55,s__Phocaeicola_vulgatus,Bacteroidetes,s__Faecalibacillus_intestinalis,Firmicutes,species,0.355306755,0.61088527
s42,s24,-0.005391932,0.850740229,-0.051120657,0.113433287,s42,s24,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Ruthenibacterium_lactatiformans,Firmicutes,species,0.898003575,0.718410819
s50,s19,-0.146189774,1.02E-05,-0.050052248,0.120039716,s50,s19,s__Clostridium_fessum,Firmicutes,s__Alistipes_putredinis,Bacteroidetes,species,0.000112088,0.725694648
s106,s47,-0.043175353,0.130338504,0.040476017,0.133181549,s106,s47,s__Actinomyces_sp_ICM58,Actinobacteria,s__Bacteroides_uniformis,Bacteroidetes,species,0.24076418,0.770136782
s152,s24,-0.004835546,0.884978836,0.047985006,0.143743793,s152,s24,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Ruthenibacterium_lactatiformans,Firmicutes,species,0.92678886,0.796580188
s106,s82,-0.01308961,0.650974297,0.042960064,0.153225595,s106,s82,s__Actinomyces_sp_ICM58,Actinobacteria,s__Clostridium_leptum,Firmicutes,species,0.739996424,0.814655401
s42,s61,-0.052924653,0.058210572,0.041245705,0.164562716,s42,s61,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Alistipes_onderdonkii,Bacteroidetes,species,0.129033435,0.814655401
s42,s96,-0.031112542,0.284359811,-0.04024797,0.169090478,s42,s96,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Parabacteroides_distasonis,Bacteroidetes,species,0.411085379,0.814655401
s106,s75,0.055763939,0.052987964,0.039433728,0.174677479,s106,s75,s__Actinomyces_sp_ICM58,Actinobacteria,s__Dysosmobacter_welbionis,Firmicutes,species,0.123638583,0.814655401
s152,s75,-0.058389056,0.089186064,-0.040994709,0.178962877,s152,s75,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Dysosmobacter_welbionis,Firmicutes,species,0.174437449,0.814655401
s175,s12,0.079125024,0.003980704,-0.041134047,0.18884289,s175,s12,s__Phocaeicola_vulgatus,Bacteroidetes,s__Blautia_massiliensis,Firmicutes,species,0.016043444,0.814655401
s106,s83,0.005521819,0.848150802,0.038097933,0.198580648,s106,s83,s__Actinomyces_sp_ICM58,Actinobacteria,s__Odoribacter_splanchnicus,Bacteroidetes,species,0.898003575,0.814655401
s152,s19,-0.092881992,0.004540934,-0.038472843,0.198622856,s152,s19,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Alistipes_putredinis,Bacteroidetes,species,0.017255551,0.814655401
s323,s12,-0.002760386,0.9134194,0.039597601,0.202132543,s323,s12,s__Roseburia_intestinalis,Firmicutes,s__Blautia_massiliensis,Firmicutes,species,0.941742482,0.814655401
s50,s83,-0.092051022,0.004426618,-0.037582799,0.224935592,s50,s83,s__Clostridium_fessum,Firmicutes,s__Odoribacter_splanchnicus,Bacteroidetes,species,0.017255551,0.864354667
s152,s71,-0.170546066,1.97E-07,-0.035009431,0.228826517,s152,s71,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Dysosmobacter_sp_BX15,Firmicutes,species,5.23E-06,0.864354667
s42,s150,-0.059008749,0.043336887,-0.033305514,0.233993618,s42,s150,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Anaerotignum_faecicola,Firmicutes,species,0.108751055,0.864354667
s323,s51,0.014987137,0.569944634,0.036459362,0.242547489,s323,s51,s__Roseburia_intestinalis,Firmicutes,s__Lachnospiraceae_bacterium_NSJ_29,Firmicutes,species,0.669356418,0.864354667
s50,s76,-0.057933068,0.068524125,-0.033045654,0.25459203,s50,s76,s__Clostridium_fessum,Firmicutes,s__Bacteroides_caccae,Bacteroidetes,species,0.140210901,0.864354667
s175,s88,-0.140742936,8.19E-05,0.03973554,0.25861547,s175,s88,s__Phocaeicola_vulgatus,Bacteroidetes,s__Parabacteroides_merdae,Bacteroidetes,species,0.000681105,0.864354667
s50,s71,-0.079763735,0.01798531,-0.035273845,0.259956291,s50,s71,s__Clostridium_fessum,Firmicutes,s__Dysosmobacter_sp_BX15,Firmicutes,species,0.051244031,0.864354667
s68,s96,0.035705207,0.269502318,0.032606607,0.287492338,s68,s96,s__Romboutsia_timonensis,Firmicutes,s__Parabacteroides_distasonis,Bacteroidetes,species,0.398264536,0.886646209
s175,s51,0.077657011,0.006648688,0.031544637,0.317201623,s175,s51,s__Phocaeicola_vulgatus,Bacteroidetes,s__Lachnospiraceae_bacterium_NSJ_29,Firmicutes,species,0.022106887,0.886646209
s42,s51,0.028611912,0.282930023,0.030393585,0.322434916,s42,s51,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Lachnospiraceae_bacterium_NSJ_29,Firmicutes,species,0.411085379,0.886646209
s106,s19,-0.01264348,0.648707416,0.028005935,0.330032729,s106,s19,s__Actinomyces_sp_ICM58,Actinobacteria,s__Alistipes_putredinis,Bacteroidetes,species,0.739996424,0.886646209
s42,s35,-0.053704793,0.046610018,0.028229162,0.332440018,s42,s35,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Oscillibacter_sp_ER4,Firmicutes,species,0.112711497,0.886646209
s152,s35,-0.188076561,1.32E-09,-0.028600713,0.334129767,s152,s35,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Oscillibacter_sp_ER4,Firmicutes,species,4.40E-08,0.886646209
s106,s90,0.009783476,0.735352184,-0.02911738,0.337829656,s106,s90,s__Actinomyces_sp_ICM58,Actinobacteria,s__Bilophila_wadsworthia,Proteobacteria,species,0.815015338,0.886646209
s175,s19,-0.12891661,5.82E-05,0.029971174,0.352588816,s175,s19,s__Phocaeicola_vulgatus,Bacteroidetes,s__Alistipes_putredinis,Bacteroidetes,species,0.000515795,0.886646209
s175,s83,-0.163391456,2.92E-06,0.032136015,0.357382317,s175,s83,s__Phocaeicola_vulgatus,Bacteroidetes,s__Odoribacter_splanchnicus,Bacteroidetes,species,5.55E-05,0.886646209
s68,s24,0.045426414,0.149559796,0.0302322,0.366797254,s68,s24,s__Romboutsia_timonensis,Firmicutes,s__Ruthenibacterium_lactatiformans,Firmicutes,species,0.265219371,0.886646209
s42,s69,-0.053287668,0.055461764,0.02632433,0.3676461,s42,s69,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Alistipes_shahii,Bacteroidetes,species,0.126957634,0.886646209
s175,s96,-0.158285613,0.000621111,-0.039930717,0.371559419,s175,s96,s__Phocaeicola_vulgatus,Bacteroidetes,s__Parabacteroides_distasonis,Bacteroidetes,species,0.003304309,0.886646209
s152,s61,-0.089030547,0.00543784,-0.02589059,0.383166442,s152,s61,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Alistipes_onderdonkii,Bacteroidetes,species,0.01903244,0.886646209
s152,s69,-0.119265074,0.000219421,-0.025846179,0.383965932,s152,s69,s__Clostridium_sp_AM22_11AC,Firmicutes,s__Alistipes_shahii,Bacteroidetes,species,0.001482179,0.886646209
s106,s24,-0.038665312,0.172880614,-0.027623617,0.384171224,s106,s24,s__Actinomyces_sp_ICM58,Actinobacteria,s__Ruthenibacterium_lactatiformans,Firmicutes,species,0.293633797,0.886646209
s323,s76,-0.064327392,0.021524565,0.024382598,0.391657156,s323,s76,s__Roseburia_intestinalis,Firmicutes,s__Bacteroides_caccae,Bacteroidetes,species,0.058423819,0.886646209
s175,s234,0.002064894,0.938346906,-0.027037238,0.396467737,s175,s234,s__Phocaeicola_vulgatus,Bacteroidetes,s__GGB9602_SGB15031,Firmicutes,species,0.952672813,0.886646209
s106,s69,-0.046182473,0.100141826,0.02473388,0.396470094,s106,s69,s__Actinomyces_sp_ICM58,Actinobacteria,s__Alistipes_shahii,Bacteroidetes,species,0.193026999,0.886646209
s323,s55,0.036269331,0.20360104,-0.026375264,0.399329503,s323,s55,s__Roseburia_intestinalis,Firmicutes,s__Faecalibacillus_intestinalis,Firmicutes,species,0.326252269,0.886646209
s175,s47,-0.158527106,1.23E-05,0.027686844,0.40562338,s175,s47,s__Phocaeicola_vulgatus,Bacteroidetes,s__Bacteroides_uniformis,Bacteroidetes,species,0.000117141,0.886646209
s323,s35,-0.084998436,0.001316656,0.024179454,0.41086877,s323,s35,s__Roseburia_intestinalis,Firmicutes,s__Oscillibacter_sp_ER4,Firmicutes,species,0.0067352,0.886646209
s106,s234,-0.03305096,0.183292651,-0.024478654,0.426701221,s106,s234,s__Actinomyces_sp_ICM58,Actinobacteria,s__GGB9602_SGB15031,Firmicutes,species,0.300962008,0.886646209
s68,s55,-0.192699112,1.02E-09,-0.025656064,0.426747047,s68,s55,s__Romboutsia_timonensis,Firmicutes,s__Faecalibacillus_intestinalis,Firmicutes,species,4.40E-08,0.886646209
s50,s75,-0.043745736,0.199357233,-0.024901567,0.436228066,s50,s75,s__Clostridium_fessum,Firmicutes,s__Dysosmobacter_welbionis,Firmicutes,species,0.323347707,0.886646209
s42,s71,-0.016169774,0.565892697,0.021971579,0.437920972,s42,s71,s__Clostridium_sp_AM49_4BH,Firmicutes,s__Dysosmobacter_sp_BX15,Firmicutes,species,0.669356418,0.886646209
s68,s75,0.081261928,0.01168323,0.023917016,0.439989848,s68,s75,s__Romboutsia_timonensis,Firmicutes,s__Dysosmobacter_welbionis,Firmicutes,species,0.036996894,0.886646209
s68,s51,-0.079808677,0.005660002,-0.022821392,0.467374185,s68,s51,s__Romboutsia_timonensis,Firmicutes,s__Lachnospiraceae_bacterium_NSJ_29,Firmicutes,species,0.019302057,0.90540997
