"outcome","ft_type","seed_val","fpr","sens"
"Combined_vs_NP","Baseline",505,0.404,0.577311111111111
"Combined_vs_NP","Baseline",505,0.405,0.579138888888889
"Combined_vs_NP","Baseline",505,0.406,0.580966666666667
"Combined_vs_NP","Baseline",505,0.407,0.582794444444445
"Combined_vs_NP","Baseline",505,0.408,0.583333333333333
"Combined_vs_NP","Baseline",505,0.409,0.583333333333333
"Combined_vs_NP","Baseline",505,0.41,0.583333333333333
"Combined_vs_NP","Baseline",505,0.411,0.584063333333333
"Combined_vs_NP","Baseline",505,0.412,0.58516
"Combined_vs_NP","Baseline",505,0.413,0.586256666666667
"Combined_vs_NP","Baseline",505,0.414,0.587353333333333
"Combined_vs_NP","Baseline",505,0.415,0.588741666666667
"Combined_vs_NP","Baseline",505,0.416,0.59258
"Combined_vs_NP","Baseline",505,0.417,0.596418333333334
"Combined_vs_NP","Baseline",505,0.418,0.600045833333333
"Combined_vs_NP","Baseline",505,0.419,0.60073125
"Combined_vs_NP","Baseline",505,0.42,0.601416666666667
"Combined_vs_NP","Baseline",505,0.421,0.602102083333333
"Combined_vs_NP","Baseline",505,0.422,0.6027875
"Combined_vs_NP","Baseline",505,0.423,0.603472916666667
"Combined_vs_NP","Baseline",505,0.424,0.604158333333333
"Combined_vs_NP","Baseline",505,0.425,0.604166666666667
"Combined_vs_NP","Baseline",505,0.426,0.604166666666667
"Combined_vs_NP","Baseline",505,0.427,0.604166666666667
"Combined_vs_NP","Baseline",505,0.428,0.605466666666667
"Combined_vs_NP","Baseline",505,0.429,0.6068375
"Combined_vs_NP","Baseline",505,0.43,0.608208333333333
"Combined_vs_NP","Baseline",505,0.431,0.608333333333333
"Combined_vs_NP","Baseline",505,0.432,0.6125
"Combined_vs_NP","Baseline",505,0.433,0.6125
"Combined_vs_NP","Baseline",505,0.434,0.6125
"Combined_vs_NP","Baseline",505,0.435,0.6125
"Combined_vs_NP","Baseline",505,0.436,0.6125
"Combined_vs_NP","Baseline",505,0.437,0.6125
"Combined_vs_NP","Baseline",505,0.438,0.6125
"Combined_vs_NP","Baseline",505,0.439,0.6125
"Combined_vs_NP","Baseline",505,0.44,0.6125
"Combined_vs_NP","Baseline",505,0.441,0.6125
"Combined_vs_NP","Baseline",505,0.442,0.6125
"Combined_vs_NP","Baseline",505,0.443,0.6125
"Combined_vs_NP","Baseline",505,0.444,0.6125
"Combined_vs_NP","Baseline",505,0.445,0.6125
"Combined_vs_NP","Baseline",505,0.446,0.6125
"Combined_vs_NP","Baseline",505,0.447,0.6125
"Combined_vs_NP","Baseline",505,0.448,0.6125
"Combined_vs_NP","Baseline",505,0.449,0.6125
"Combined_vs_NP","Baseline",505,0.45,0.6125
"Combined_vs_NP","Baseline",505,0.451,0.6125
"Combined_vs_NP","Baseline",505,0.452,0.613366666666667
"Combined_vs_NP","Baseline",505,0.453,0.618904166666667
"Combined_vs_NP","Baseline",505,0.454,0.620275
"Combined_vs_NP","Baseline",505,0.455,0.621239583333333
"Combined_vs_NP","Baseline",505,0.456,0.622025
"Combined_vs_NP","Baseline",505,0.457,0.62408125
"Combined_vs_NP","Baseline",505,0.458,0.6261375
"Combined_vs_NP","Baseline",505,0.459,0.628147916666667
"Combined_vs_NP","Baseline",505,0.46,0.628833333333333
"Combined_vs_NP","Baseline",505,0.461,0.629166666666667
"Combined_vs_NP","Baseline",505,0.462,0.629166666666667
"Combined_vs_NP","Baseline",505,0.463,0.629166666666667
"Combined_vs_NP","Baseline",505,0.464,0.629166666666667
"Combined_vs_NP","Baseline",505,0.465,0.629166666666667
"Combined_vs_NP","Baseline",505,0.466,0.629166666666667
"Combined_vs_NP","Baseline",505,0.467,0.629166666666667
"Combined_vs_NP","Baseline",505,0.468,0.629166666666667
"Combined_vs_NP","Baseline",505,0.469,0.629166666666667
"Combined_vs_NP","Baseline",505,0.47,0.629166666666667
"Combined_vs_NP","Baseline",505,0.471,0.629166666666667
"Combined_vs_NP","Baseline",505,0.472,0.629766666666667
"Combined_vs_NP","Baseline",505,0.473,0.630452083333333
"Combined_vs_NP","Baseline",505,0.474,0.6311375
"Combined_vs_NP","Baseline",505,0.475,0.63228125
"Combined_vs_NP","Baseline",505,0.476,0.638259444444444
"Combined_vs_NP","Baseline",505,0.477,0.641320972222223
